Time (s),Compressor Speed (rpm),Condensor Air Mass Flow (kg/s),Evaporator Air Mass Flow (kg/s),Superheat (°C),Discharge Temperature (°C),Subcooling (°C),Condenser_Pressure (kPa),Evaporator_Pressure (kPa),Compressor_MassFlow (kg/s),EXV_MassFlow (kg/s),Compressor_Power (kW),Total Power (kW),Air Side Cooling Capacity (kW),Ref Side Cooling Capacity (kW)
0.05,3300,2.236,0.6909,0,35.69399997,21.81105539,2073.383522,911.5310059,0.051959436,0.054661373,1.954298851,2.235778251,15.80030453,9.321266396
0.1,3300,2.236,0.6909,0,38.67323072,21.0821982,2090.504156,864.4212782,0.0492285,0.055891669,2.035024835,2.316504235,15.60573529,6.53676586
0.15,3300,2.236,0.6909,0,40.85699415,20.738055,2129.40007,850.9266401,0.048454697,0.057135148,2.104951191,2.386430591,15.43818979,5.321801423
0.2,3300,2.236,0.6909,0,42.48332671,20.39916654,2169.202216,861.118216,0.049039288,0.057898668,2.151208717,2.432688117,15.29691314,7.50698588
0.25,3300,2.236,0.6909,0,43.74381812,20.01131841,2206.475292,876.4219451,0.049918174,0.058455109,2.189265303,2.470744703,15.16660769,9.538664124
0.3,3300,2.236,0.6909,0,44.79802415,19.57411808,2240.742809,886.6869991,0.050511396,0.058992223,2.228319537,2.509798937,15.03590607,9.903505024
0.35,3300,2.236,0.6909,0,45.69586096,19.09113491,2271.879778,893.8375896,0.050926421,0.059471171,2.265969623,2.547449023,14.90541589,9.62461738
0.4,3300,2.236,0.6909,0,46.45722717,18.57008675,2300.000215,900.1075412,0.05129134,0.05985829,2.300129453,2.581608853,14.77693525,9.406044873
0.45,3300,2.236,0.6909,0,47.09879816,18.02004672,2325.322148,906.2111191,0.051647975,0.060153645,2.330439366,2.611918766,14.65113472,9.337928044
0.5,3300,2.236,0.6909,0,47.64264759,17.44954202,2348.151849,912.1891451,0.051998063,0.060370731,2.357320574,2.638799974,14.52802997,9.32900848
0.55,3300,2.236,0.6909,0,48.10669205,16.86525485,2368.693827,917.9632485,0.052337189,0.060521367,2.381149722,2.662629122,14.40749311,9.326540905
0.6,3300,2.236,0.6909,0,48.50247994,16.27192379,2387.098755,923.4874131,0.052662549,0.0606141,2.402183084,2.683662484,14.28942141,9.320223873
0.65,3300,2.236,0.6909,0,48.84357454,15.67675343,2403.702203,928.7662401,0.052974105,0.060661737,2.420904198,2.702383598,14.17377013,9.313525857
0.7,3300,2.236,0.6909,0,49.13670487,15.08160391,2418.549848,933.8102969,0.053272692,0.060667196,2.437349158,2.718828558,14.06049242,9.307175132
0.75,3300,2.236,0.6909,0,49.38999044,14.49180778,2431.909923,938.6350122,0.053558761,0.06064027,2.451877051,2.733356451,13.94956181,9.302231035
0.8,3300,2.236,0.6909,0,49.60914124,13.90876473,2443.879435,943.2440372,0.053832782,0.060584358,2.46465004,2.74612944,13.8409401,9.2981314
0.85,3300,2.236,0.6909,0,49.79968501,13.33623907,2454.66396,947.6559325,0.054095516,0.060506411,2.4759184,2.7573978,13.73460348,9.295088255
0.9,3300,2.236,0.6909,0,49.96410447,12.77447347,2464.283232,951.8688429,0.054345681,0.06040776,2.485683682,2.767163082,13.63051371,9.292338422
0.95,3300,2.236,0.6909,0,50.11017658,12.22946942,2473.160783,955.9160399,0.054582655,0.060300712,2.494440371,2.775919771,13.52865289,9.291622586
1,3300,2.236,0.6909,0,50.23051176,11.69083962,2480.66811,959.7936519,0.05480838,0.06016645,2.501356704,2.782836104,13.42896784,9.288540834
1.05,3300,2.236,0.6909,0,50.34967898,11.18400282,2488.459037,963.5173677,0.055024662,0.060054576,2.508857119,2.790336519,13.33143569,9.290901946
1.1,3300,2.236,0.6909,0,50.44334585,10.68356496,2494.97653,967.1129384,0.055233592,0.059918087,2.514556241,2.796035641,13.2360361,9.289877733
1.15,3300,2.236,0.6909,0,50.5219709,10.19122693,2500.348448,970.5203917,0.055431783,0.059761279,2.518834315,2.800313715,13.14269233,9.285442743
1.2,3300,2.236,0.6909,0,50.595732,9.721684671,2505.567593,973.7789874,0.055621847,0.059612978,2.523111244,2.804590644,13.05140804,9.285081058
1.25,3300,2.236,0.6909,0,50.6587542,9.269569093,2510.325365,976.9116513,0.055804659,0.059463865,2.526822752,2.808302152,12.96216662,9.286023492
1.3,3300,2.236,0.6909,0,50.71417519,8.835064869,2514.688052,979.9118271,0.055979824,0.059315758,2.530068923,2.811548323,12.87492714,9.286791576
1.35,3300,2.236,0.6909,0,50.76094062,8.415400774,2518.502787,982.7818196,0.056147894,0.059163744,2.532669413,2.814148813,12.78966007,9.28722976
1.4,3300,2.236,0.6909,0,50.80142096,8.012233835,2521.923259,985.5247333,0.056308606,0.059012106,2.534840902,2.816320302,12.70633773,9.288137628
1.45,3300,2.236,0.6909,0,50.83640376,7.626529148,2525.054249,988.1464707,0.056462282,0.058863707,2.536707743,2.818187143,12.62492959,9.289666606
1.5,3300,2.236,0.6909,0,50.86690982,7.258508429,2527.920277,990.6499722,0.056609185,0.058719205,2.538316071,2.819795471,12.54540221,9.291579206
1.55,3300,2.236,0.6909,0,50.89318949,6.907644518,2530.540729,993.0454502,0.056750072,0.058578586,2.539677311,2.821156711,12.46773147,9.293845745
1.6,3300,2.236,0.6909,0,50.91602399,6.573183402,2532.940905,995.3293804,0.056884447,0.058442194,2.540834169,2.822313569,12.39188255,9.296214993
1.65,3300,2.236,0.6909,0,50.93549547,6.254798053,2535.120374,997.5025978,0.057012351,0.058309964,2.541779088,2.823258488,12.3178182,9.298355361
