Compressor Speed (rpm),Air Side Cooling Capacity (kW),Time (s)
3300,9.286174811,100.0
4500,12.20611616,100.05
4500,12.17716266,100.1
4500,12.13847636,100.15
4500,12.09699345,100.2
4500,12.05450085,100.25
4500,12.01172469,100.3
4500,11.96945122,100.35
4500,11.92771058,100.4
4500,11.88667956,100.45
4500,11.84651963,100.5
4500,11.80719179,100.55
4500,11.76898849,100.6
4500,11.73182412,100.65
4500,11.6956244,100.7
4500,11.66029956,100.75
4500,11.62587754,100.8
4500,11.59236788,100.85
4500,11.55977795,100.9
4500,11.52817478,100.95
4500,11.49739639,101.0
4500,11.46743175,101.05
4500,11.43827305,101.1
4500,11.40990385,101.15
4500,11.38214055,101.2
4500,11.35507218,101.25
4500,11.32877619,101.3
4500,11.30319682,101.35
4500,11.27829644,101.4
4500,11.25420106,101.45
4500,11.23079551,101.5
4500,11.20812428,101.55
4500,11.18611782,101.6
4500,11.1647794,101.65
4500,11.14440894,101.7
4500,11.12436974,101.75
4500,11.10504868,101.8
4500,11.08633012,101.85
4500,11.06819209,101.9
4500,11.0506141,101.95
4500,11.03357773,102.0
4500,11.01706603,102.05
4500,11.00106312,102.1
4500,10.98555398,102.15
4500,10.97052427,102.2
4500,10.95596014,102.25
4500,10.94184816,102.3
4500,10.92817538,102.35
4500,10.91492918,102.4
4500,10.90209729,102.45
4500,10.88966774,102.5
4500,10.87762885,102.55
4500,10.86596925,102.6
4500,10.85467783,102.65
4500,10.84374374,102.7
4500,10.83315642,102.75
4500,10.82290558,102.8
4500,10.81298116,102.85
4500,10.80337337,102.9
4500,10.79407268,102.95
4500,10.78506978,103.0
4500,10.77635562,103.05
4500,10.76792141,103.1
4500,10.75975855,103.15
4500,10.75185871,103.2
4500,10.74421377,103.25
4500,10.73681584,103.3
4500,10.72965725,103.35
4500,10.72273052,103.4
4500,10.71602842,103.45
4500,10.70954391,103.5
4500,10.70327014,103.55
4500,10.69720049,103.6
4500,10.6913285,103.65
4500,10.68564792,103.7
4500,10.68015268,103.75
4500,10.67483691,103.8
4500,10.66969489,103.85
4500,10.66472109,103.9
4500,10.65991015,103.95
4500,10.65525686,104.0
4500,10.6507562,104.05
4500,10.64640327,104.1
4500,10.64219335,104.15
4500,10.63812185,104.2
4500,10.63418434,104.25
4500,10.63037651,104.3
4500,10.62669419,104.35
4500,10.62313336,104.4
4500,10.61969011,104.45
4500,10.61636064,104.5
4500,10.6131413,104.55
4500,10.61002853,104.6
4500,10.60701889,104.65
4500,10.60410905,104.7
4500,10.60129579,104.75
4500,10.59857599,104.8
4500,10.59594661,104.85
4500,10.59340478,104.9
4500,10.59094764,104.95
4500,10.58857244,105.0
4500,10.58627651,105.05
4500,10.58405727,105.1
4500,10.58191222,105.15
4500,10.57983894,105.2
4500,10.57783508,105.25
4500,10.57589837,105.3
4500,10.57402661,105.35
4500,10.57221768,105.4
4500,10.5704695,105.45
4500,10.56878009,105.5
4500,10.5671475,105.55
4500,10.56556987,105.6
4500,10.56404538,105.65
4500,10.56257228,105.7
4500,10.56114887,105.75
4500,10.5597735,105.8
4500,10.55844458,105.85
4500,10.55716057,105.9
4500,10.55591998,105.95
4500,10.55472137,106.0
4500,10.55356333,106.05
4500,10.55244452,106.1
4500,10.55136362,106.15
4500,10.55031937,106.2
4500,10.54931055,106.25
4500,10.54833596,106.3
4500,10.54739447,106.35
4500,10.54648495,106.4
4500,10.54560635,106.45
4500,10.54475762,106.5
4500,10.54393775,106.55
4500,10.54314578,106.6
4500,10.54238077,106.65
4500,10.5416418,106.7
4500,10.540928,106.75
4500,10.54023852,106.8
4500,10.53957254,106.85
4500,10.53892927,106.9
4500,10.53830793,106.95
4500,10.53770778,107.0
4500,10.53712811,107.05
4500,10.53656823,107.1
4500,10.53602745,107.15
4500,10.53550514,107.2
4500,10.53500067,107.25
4500,10.53451343,107.3
4500,10.53404283,107.35
4500,10.53358831,107.4
4500,10.53314933,107.45
4500,10.53272536,107.5
4500,10.53231587,107.55
4500,10.53192039,107.6
4500,10.53153844,107.65
4500,10.53116955,107.7
4500,10.53081327,107.75
4500,10.53046919,107.8
4500,10.53013688,107.85
4500,10.52981593,107.9
4500,10.52950598,107.95
4500,10.52920663,108.0
4500,10.52891753,108.05
4500,10.52863832,108.1
4500,10.52836867,108.15
4500,10.52810826,108.2
4500,10.52785676,108.25
4500,10.52761387,108.3
4500,10.52737931,108.35
4500,10.52715277,108.4
4500,10.526934,108.45
4500,10.52672271,108.5
4500,10.52651867,108.55
4500,10.52632161,108.6
4500,10.52613131,108.65
4500,10.52594752,108.7
4500,10.52577003,108.75
4500,10.52559862,108.8
4500,10.52543309,108.85
4500,10.52527323,108.9
4500,10.52511884,108.95
4500,10.52496975,109.0
4500,10.52482576,109.05
4500,10.52468671,109.1
4500,10.52455243,109.15
4500,10.52442275,109.2
4500,10.52429751,109.25
4500,10.52417656,109.3
4500,10.52405976,109.35
4500,10.52394696,109.4
4500,10.52383803,109.45
4500,10.52373284,109.5
4500,10.52363125,109.55
4500,10.52353314,109.6
4500,10.52343839,109.65
4500,10.5233469,109.7
4500,10.52325854,109.75
4500,10.52317321,109.8
4500,10.5230908,109.85
4500,10.52301122,109.9
4500,10.52293437,109.95
4500,10.52286015,110.0
4500,10.52278848,110.05
4500,10.52271927,110.1
4500,10.52265243,110.15
4500,10.52258788,110.2
4500,10.52252554,110.25
4500,10.52246535,110.3
4500,10.52240721,110.35
4500,10.52235107,110.4
4500,10.52229686,110.45
4500,10.5222445,110.5
4500,10.52219394,110.55
4500,10.52214511,110.6
4500,10.52209796,110.65
4500,10.52205243,110.7
4500,10.52200846,110.75
4500,10.52196599,110.8
4500,10.52192498,110.85
4500,10.52188538,110.9
4500,10.52184714,110.95
4500,10.52181021,111.0
4500,10.52177455,111.05
4500,10.5217401,111.1
4500,10.52170684,111.15
4500,10.52167473,111.2
4500,10.52164371,111.25
4500,10.52161376,111.3
4500,10.52158483,111.35
4500,10.5215569,111.4
4500,10.52152993,111.45
4500,10.52150388,111.5
4500,10.52147872,111.55
4500,10.52145443,111.6
4500,10.52143097,111.65
4500,10.52140832,111.7
4500,10.52138644,111.75
4500,10.52136531,111.8
4500,10.52134491,111.85
4500,10.52132521,111.9
4500,10.52130619,111.95
4500,10.52128782,112.0
4500,10.52127007,112.05
4500,10.52125294,112.1
4500,10.5212364,112.15
4500,10.52122042,112.2
4500,10.52120499,112.25
4500,10.52119009,112.3
4500,10.5211757,112.35
4500,10.52116181,112.4
4500,10.52114839,112.45
4500,10.52113544,112.5
4500,10.52112292,112.55
4500,10.52111084,112.6
4500,10.52109917,112.65
4500,10.52108791,112.7
4500,10.52107703,112.75
4500,10.52106652,112.8
4500,10.52105637,112.85
4500,10.52104657,112.9
4500,10.52103711,112.95
4500,10.52102797,113.0
4500,10.52101915,113.05
4500,10.52101063,113.1
4500,10.5210024,113.15
4500,10.52099446,113.2
4500,10.52098678,113.25
4500,10.52097937,113.3
4500,10.52097222,113.35
4500,10.52096531,113.4
4500,10.52095864,113.45
4500,10.52095219,113.5
4500,10.52094597,113.55
4500,10.52093996,113.6
4500,10.52093416,113.65
4500,10.52092856,113.7
4500,10.52092315,113.75
4500,10.52091792,113.8
4500,10.52091287,113.85
4500,10.520908,113.9
4500,10.5209033,113.95
4500,10.52089875,114.0
4500,10.52089437,114.05
4500,10.52089013,114.1
4500,10.52088604,114.15
4500,10.52088209,114.2
4500,10.52087827,114.25
4500,10.52087459,114.3
4500,10.52087103,114.35
4500,10.52086759,114.4
4500,10.52086428,114.45
4500,10.52086107,114.5
4500,10.52085798,114.55
4500,10.52085499,114.6
4500,10.52085211,114.65
4500,10.52084932,114.7
4500,10.52084663,114.75
4500,10.52084403,114.8
4500,10.52084152,114.85
4500,10.5208391,114.9
4500,10.52083676,114.95
4500,10.5208345,115.0
4500,10.52083232,115.05
4500,10.52083021,115.1
4500,10.52082818,115.15
4500,10.52082621,115.2
4500,10.52082432,115.25
4500,10.52082249,115.3
4500,10.52082072,115.35
4500,10.52081901,115.4
4500,10.52081736,115.45
4500,10.52081577,115.5
4500,10.52081423,115.55
4500,10.52081274,115.6
4500,10.52081131,115.65
4500,10.52080992,115.7
4500,10.52080858,115.75
4500,10.52080729,115.8
4500,10.52080605,115.85
4500,10.52080484,115.9
4500,10.52080368,115.95
4500,10.52080256,116.0
4500,10.52080147,116.05
4500,10.52080042,116.1
4500,10.52079941,116.15
4500,10.52079844,116.2
4500,10.52079749,116.25
4500,10.52079658,116.3
4500,10.5207957,116.35
4500,10.52079485,116.4
4500,10.52079403,116.45
4500,10.52079324,116.5
4500,10.52079248,116.55
4500,10.52079174,116.6
4500,10.52079102,116.65
4500,10.52079034,116.7
4500,10.52078967,116.75
4500,10.52078903,116.8
4500,10.52078841,116.85
4500,10.52078781,116.9
4500,10.52078723,116.95
4500,10.52078667,117.0
4500,10.52078613,117.05
4500,10.52078561,117.1
4500,10.52078511,117.15
4500,10.52078462,117.2
4500,10.52078416,117.25
4500,10.5207837,117.3
4500,10.52078327,117.35
4500,10.52078284,117.4
4500,10.52078244,117.45
4500,10.52078204,117.5
4500,10.52078166,117.55
4500,10.52078129,117.6
4500,10.52078094,117.65
4500,10.5207806,117.7
4500,10.52078027,117.75
4500,10.52077995,117.8
4500,10.52077964,117.85
4500,10.52077934,117.9
4500,10.52077905,117.95
4500,10.52077878,118.0
4500,10.52077851,118.05
4500,10.52077825,118.1
4500,10.520778,118.15
4500,10.52077776,118.2
4500,10.52077753,118.25
4500,10.5207773,118.3
4500,10.52077708,118.35
4500,10.52077687,118.4
4500,10.52077667,118.45
4500,10.52077647,118.5
4500,10.52077629,118.55
4500,10.5207761,118.6
4500,10.52077593,118.65
4500,10.52077576,118.7
4500,10.52077559,118.75
4500,10.52077543,118.8
